Year,Title,Subject,Actor,Actress,Director
1985,"Angelic Conversation, The",Comedy,"Reynolds, Paul",,"Jarman, Derek"
1986,Down by Law,Comedy,"Waits, Tom",,"Jarmusch, Jim"
1984,"Killing Fields, The",Drama,"Waterston, Sam",,"Joffe, Roland"
1992,Survival Zone,Action,"Ford, Terence",,"Jones, Chris"
1979,Monty Python's Life of Brian,Comedy,"Chapman, Graham",,"Jones, Terry"
1983,Monty Python's the Meaning of Life,Comedy,"Cleese, John",,"Jones, Terry"
1971,"Red Tent, The",Action,"Finch, Peter",,"Kalatozov, Mikhail"
1945,Dakota,Western,"Wayne, John",,"Kane, Joseph"
1952,Viva Zapata!,Drama,"Brando, Marlon",,"Kazan, Elia"
1968,"Green Berets, The",War,"Wayne, John",,"Kellogg, Ray"
1990,Big Bad John,Action,"English, Doug",,"Kennedy, Burt"
1937,"Ticket of Leave Man, The",Mystery,"Slaughter, Tod",,"King, George"
1956,"D-Day, The Sixth of June",War,"Taylor, Robert",,"Koster, Henry"
1974,"Apprenticeship of Duddy Kravitz, The",Drama,"Dreyfuss, Richard",,"Kotcheff, Ted"
1971,A Clockwork Orange,Science Fiction,"McDowell, Malcolm",,"Kubrick, Stanley"
1991,Full Metal Jacket,War,"Modine, Matthew",,"Kubrick, Stanley"
1943,Sanshiro Sugata,Drama,"Fujita, Susumu",,"Kurosawa, Akira"
1991,Rhapsody in August,Drama,"Gere, Richard",,"Kurosawa, Akira"
1946,No Regrets for Our Youth,Drama,"Hara, Setsuko",,"Kurosawa, Akira"
1960,"Bad Sleep Well, The",Drama,"Mifune, Toshiro",,"Kurosawa, Akira"
1951,"Idiot, The",Drama,"Mifune, Toshiro",,"Kurosawa, Akira"
1951,Rashomon,Drama,"Mifune, Toshiro",,"Kurosawa, Akira"
1962,Sanjuro,Mystery,"Mifune, Toshiro",,"Kurosawa, Akira"
1955,Seven Samurai,Drama,"Mifune, Toshiro",,"Kurosawa, Akira"
1957,Throne of Blood,Drama,"Mifune, Toshiro",,"Kurosawa, Akira"
1961,Yojimbo,Action,"Mifune, Toshiro",,"Kurosawa, Akira"
1980,Kagemusha,Drama,"Nakadai, Tatsuya",,"Kurosawa, Akira"
1952,Ikiru,Drama,"Shimura, Takashi",,"Kurosawa, Akira"
1987,Empire of Spiritual Ninja,Action,"Berlin, Tom",,"Lambert, Bruce"
1986,"Ninja, the Violent Sorcerer",Action,,,"Lambert, Bruce"
1926,Metropolis,Science Fiction,"Abel, Alfred",,"Lang, Fritz"
1946,Cloak & Dagger,Mystery,"Cooper, Gary",,"Lang, Fritz"
1920,Spiders,Drama,"De Vogy, Carl",,"Lang, Fritz"
1954,Human Desire,Drama,"Ford, Glenn",,"Lang, Fritz"
1928,Spies,Drama,"Klein-Rogge, Rudolf",,"Lang, Fritz"
1933,"Testament of Dr. Mabuse, The",Drama,"Klein-Rogge, Rudolf",,"Lang, Fritz"
1991,Fury,Drama,"Tracy, Spencer",,"Lang, Fritz"
1990,Mo' Better Blues,Drama,"Washington, Denzel",,"Lee, Spike"
1989,Matt Talbot,Drama,"Ford, Seamus",,"Lennon, Biddy W."
1989,"Will Rogers, Look Back in Laughter",Comedy,"Williams, Robin",,"Leo, Malcolm"
1991,For a Few Dollars More,Westerns,"Eastwood, Clint",,"Leone, Sergio"
1944,Thirty Seconds over Tokyo,War,"Tracy, Spencer",,"LeRoy, Mervyn"
1982,Class of 1984,Drama,"King, Perry",,"Lester, Mark L."
1974,Juggernaut,Action,"Harris, Richard",,"Lester, Richard"
1987,"Good Morning, Vietnam",Comedy,"Williams, Robin",,"Levinson, Barry"
