Year,Title,Subject,Actor,Actress,Director
1990,Tie Me Up! Tie Me Down!,Comedy,"Banderas, Antonio","Abril, Victoria","Almodóvar, Pedro"
1991,High Heels,Comedy,"Bosé, Miguel","Abril, Victoria","Almodóvar, Pedro"
1983,"Dead Zone, The",Horror,"Walken, Christopher","Adams, Brooke","Cronenberg, David"
1979,Cuba,Action,"Connery, Sean","Adams, Brooke","Lester, Richard"
1978,Days of Heaven,Drama,"Gere, Richard","Adams, Brooke","Malick, Terrence"
1983,Octopussy,Action,"Moore, Roger","Adams, Maud","Glen, John"
1984,Target Eagle,Action,"Connors, Chuck","Adams, Maud","Loma, José Antonio de la"
1989,"American Angels: Baptism of Blood, The",Drama,"Bergen, Robert D.","Adams, Trudy","Sebastian, Beverly"
1985,Subway,Drama,"Lambert, Christopher","Adjani, Isabelle","Besson, Luc"
1990,Camille Claudel,Drama,"Depardieu, Gérard","Adjani, Isabelle","Nuytten, Bruno"
1982,Fanny and Alexander,Drama,"Ahlstedt, Börje","Adolphson, Kristina","Bergman, Ingmar"
1982,Tragedy of a Ridiculous Man,Drama,"Tognazzi, Ugo","Aimee, Anouk","Bertolucci, Bernardo"
1966,A Man & a Woman,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude"
1986,A Man & a Woman: Twenty Years Later,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude"
1966,Un Hombre y una Mujer,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude"
1985,"Official Story, The",Drama,"Alterio, Hector","Aleandro, Norma","Puenzo, Luiz"
1976,"Lindbergh Kidnapping Case, The",Drama,"Hopkins, Anthony","Alexander, Denise","Kulik, Buzz"
1929,Blackmail,Mystery,"Longden, John","Algood, Sara","Hitchcock, Alfred"
1963,Donovan's Reef,Comedy,"Wayne, John","Allen, Elizabeth","Ford, John"
1988,Tucker: The Man & His Dream,Drama,"Bridges, Jeff","Allen, Joan","Coppola, Francis Ford"
1988,Scrooged,Comedy,"Murray, Bill","Allen, Karen","Donner, Richard"
1981,Raiders of the Lost Ark,Action,"Ford, Harrison","Allen, Karen","Spielberg, Steven"
1987,"Running Man, The",Science Fiction,"Schwarzenegger, Arnold","Alonso, Maria Conchita","Glaser, Paul Michael"
1991,Predator 2,Action,"Glover, Danny","Alonso, Maria Conchita","Hopkins, Stephen"
1988,Colors,Drama,"Penn, Sean","Alonso, Maria Conchita","Hopper, Dennis"
1990,Zandalee,Drama,"Cage, Nicolas","Anderson, Erika","Pillsbury, Sam"
1988,Miles from Home,Drama,"Anderson, Kevin","Anderson, Jo","Sinise, Gary"
1980,Happy Birthday to Me,Horror,"Ford, Glenn","Anderson, Melissa Sue","Thompson, J. Lee"
1989,Final Notice,Mystery,"Gerard, Gil","Anderson, Melody","Stern, Steven Hilliard"
1979,Quintet,Drama,"Newman, Paul","Andersson, Bibi","Altman, Robert"
1960,"Devil's Eye, The",Drama,"Kulle, Jarl","Andersson, Bibi","Bergman, Ingmar"
1957,Wild Strawberries,Drama,"Sjöström, Victor","Andersson, Bibi","Bergman, Ingmar"
1956,"Seventh Seal, The",Drama,"Sydow, Max von","Andersson, Bibi","Bergman, Ingmar"
1992,Germicide,Drama,"Taylor, Rod","Andersson, Bibi",
1955,Dreams,Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar"
1955,"Naked Night, The",Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar"
1962,Through a Glass Darkly,Drama,"Björnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar"
1972,Cries & Whispers,Drama,"Josephson, Erland","Andersson, Harriet","Bergman, Ingmar"
1958,"Barbarian & the Geisha, The",Action,"Wayne, John","Ando, Eiko","Huston, John"
1967,Casino Royale,Comedy,"Niven, David","Andress, Ursula","Hughes, Ken"
1962,Dr. No,Action,"Connery, Sean","Andress, Ursula","Young, Terence"
1954,Elephant Walk,Drama,"Finch, Peter","Andrews, Dana",
1979,Ten,Comedy,"Moore, Dudley","Andrews, Julie","Edwards, Blake"
1983,"Man Who Loved Women, The",Comedy,"Reynolds, Burt","Andrews, Julie","Edwards, Blake"
1966,Hawaii,Drama,"Sydow, Max von","Andrews, Julie","Hill, George Roy"
1966,Torn Curtain,Mystery,"Newman, Paul","Andrews, Julie","Hitchcock, Alfred"
1986,Duet for One,Drama,"Bates, Alan","Andrews, Julie","Konchalovsky, Andrei"
1965,"Sound of Music, The",Music,"Plummer, Christopher","Andrews, Julie","Wise, Robert"
1985,Gonzo Presents Muppet Weird Stuff,Comedy,"Cleese, John","Andrews, Julie",
1984,Tartuffe,Comedy,"Depardieu, Gérard","Annen, Paule","Depardieu, Gérard"
1988,A New Life,Comedy,"Alda, Alan",Ann-Margret,"Alda, Alan"
1978,Magic,Mystery,"Hopkins, Anthony",Ann-Margret,"Attenborough, Richard"
1992,Tommy,Music,"Daltry, Roger",Ann-Margret,"Russell, Ken"
1978,"Big Fix, The",Mystery,"Dreyfuss, Richard","Anspach, Susan","Kagan, Jeremy Paul"
1992,Alan & Naomi,Drama,"Haas, Lukas","Aquino, Vanessa","Vanwagenen, Sterling"
1987,Fatal Attraction,Mystery,"Douglas, Michael","Archer, Anne","Lyne, Adrian"
1992,Patriot Games,Action,"Ford, Harrison","Archer, Anne","Noyce, Phillip"
1981,"Woman Next Door, The",Drama,"Depardieu, Gérard","Ardant, Fanny","Truffaut, François"
1992,Hunting,Mystery,"Savage, John","Armstrong, Kerry","Howson, Frank"
1991,Bataan,War,"Taylor, Robert","Arnaz, Desi",
1924,"Siegfried, The Nibelungenlied",Drama,"Richter, Paul","Arnold, Gertrud","Lang, Fritz"
1991,"Henry, Portrait of a Serial Killer",Horror,"Rooker, Michael","Arnold, Tracy",
1988,"Big Blue, The",Drama,"Barr, Jean-Marc","Arquette, Rosanna","Besson, Luc"
1991,Flight of the Intruder,Drama,"Glover, Danny","Arquette, Rosanna","Milius, John"
1986,Nobody's Fool,Comedy,"Roberts, Eric","Arquette, Rosanna","Purcell, Evelyn"
1985,After Hours,Comedy,"Dunne, Griffin","Arquette, Rosanna","Scorsese, Martin"
1985,Desperately Seeking Susan,Comedy,"Quinn, Aidan","Arquette, Rosanna","Seidelman, Susan"
1971,A New Leaf,Comedy,"Matthau, Walter","Arrick, Rose","May, Elaine"
1959,Killers of Kilimanjaro,Action,"Taylor, Robert","Aslan, Gregoire","Thorpe, Richard"
1926,Don Juan,Action,"Barrymore, John","Astor, Mary","Crosland, Alan"
1987,Babette's Feast,Drama,"LaFont, Jean-Philippe","Audran, Stéphane","Axel, Gabriel"
1989,"Vincent, Francois, Paul & the Others",Drama,"Montand, Yves","Audran, Stéphane",
1988,Thunderball,Action,"Connery, Sean","Auger, Claudine","Young, Terrence"
1926,Lodger (Story of the London Fog),Mystery,"Chesney, Arthur","Ault, Marie","Hitchcock, Alfred"
1988,Appointment with Death,Mystery,"Ustinov, Peter","Bacall, Lauren","Donaggio, Michael Winner"
1974,Murder on the Orient Express,Mystery,"Balsam, Martin","Bacall, Lauren","Lumet, Sidney"
1955,Blood Alley,War,"Wayne, John","Bacall, Lauren","Wellman, William"
1977,"Spy Who Loved Me, The",Action,"Moore, Roger","Bach, Barbara","Gilbert, Lewis"
1988,Storm,Action,"Palfy, David","Bahtia, Stacy Christensen","Winning, David"
1991,Bloodbath,Horror,"Hopper, Dennis","Baker, Carroll",
1989,Miami Cops,Action,"Roundtree, Richard","Baker, Dawn","Bradley, Al"
1996,"Island of Dr. Moreau, The",Horror,"Thewlis, David","Balk, Fairuza","Frankenheimer, John"
1992,Eighty-Four Charing Cross Road,Drama,"Hopkins, Anthony","Bancroft, Anne","Jones, David"
1980,"Elephant Man, The",Drama,"Hopkins, Anthony","Bancroft, Anne","Lynch, David"
1988,Dr Alien,Science Fiction,"Jacoby, Billy","Barash, Olivia","DeCoteau, David"
1982,Creepshow,Horror,"Holbrook, Hal","Barbeau, Adrienne","Romero, George A."
1987,Sammy & Rosie Get Laid,Drama,"Din, Ayub Khan","Barber, Frances","Frears, Stephen"
1971,"Goalie's Anxiety at the Penalty Kick, The",Drama,"Brauss, Arthur","Bardischewski, Maria","Wenders, Wim"
1957,Mademoiselle Striptease,Comedy,"Gelin, Daniel","Bardot, Brigitte","Allegret, Marc"
1969,"Women, The",Drama,"Ronet, Maurice","Bardot, Brigitte","Aurel, Jean"
1958,That Naughty Girl,Comedy,"Bretonniere, Jean","Bardot, Brigitte","Boisrond, Michel"
1959,Voulez-Vous Danser Avec Moi?,Comedy,"Vidal, Henri","Bardot, Brigitte","Boisrond, Michel"
1967,"A Coeur Joie, (Head Over Heels)",Action,"Terzieff, Laurent","Bardot, Brigitte","Bourguignon, Serge"
1968,Shalako,Westerns,"Connery, Sean","Bardot, Brigitte","Dmytryk, Edward"
1964,Contempt,Drama,"Palance, Jack","Bardot, Brigitte","Godard, Jean-Luc"
1965,Dear Brigitte,Comedy,"Mumy, Billy","Bardot, Brigitte","Koster, Henry"
1962,A Very Private Affair,Drama,"Mastroianni, Marcello","Bardot, Brigitte","Malle, Louis"
1964,"Ravishing Idiot, The",Comedy,"Perkins, Anthony","Bardot, Brigitte","Molinaro, Edouard"
1958,"Bride Is Much Too Beautiful, The",Comedy,"Jourdan, Louis","Bardot, Brigitte","Surin, Fred"
1955,Doctor at Sea,Comedy,"Bogarde, Dirk","Bardot, Brigitte","Thomas, Ralph"
1962,"Le Repos Du Guerrier, (Warrior's Rest)",War,"Hossein, Robert","Bardot, Brigitte","Vadim, Roger"
1957,And God Created Woman,Drama,"Jurgens, Curt","Bardot, Brigitte","Vadim, Roger"
1973,Ms. Don Juan,Drama,"Ronet, Maurice","Bardot, Brigitte","Vadim, Roger"
1987,Siesta,Drama,"Byrne, Gabriel","Barkin, Ellen","Lambert, Mary"
1932,Rich & Strange,Drama,"Kendall, Henry","Barry, Joan","Hitchcock, Alfred"
1987,Lionheart,Action,"Stoltz, Eric","Barrymore, Deborah","Schaffner, Franklin J."
1982,E. T. The Extra-Terrestrial,Science Fiction,"Wallace, Dee","Barrymore, Drew","Spielberg, Steven"
1992,Cool World,Drama,"Byrne, Gabriel","Basinger, Kim","Bakshi, Ralph"
1988,Nadine,Comedy,"Bridges, Jeff","Basinger, Kim","Benton, Robert"
1989,Batman,Action,"Nicholson, Jack","Basinger, Kim","Burton, Tim"
1987,Blind Date,Comedy,"Willis, Bruce","Basinger, Kim","Edwards, Blake"
1982,Mother Lode,Action,"Heston, Charlton","Basinger, Kim","Heston, Charlton"
1992,Final Analysis,Drama,"Gere, Richard","Basinger, Kim","Joanou, Phil"
1983,Never Say Never Again,Action,"Connery, Sean","Basinger, Kim","Kershner, Irvin"
1986,Nine & a Half Weeks,Drama,"Rourke, Mickey","Basinger, Kim","Lyne, Adrian"
1989,Killjoy,Mystery,"Culp, Robert","Basinger, Kim","Moxey, John Llewellyn"
1986,No Mercy,Drama,"Gere, Richard","Basinger, Kim","Pearce, Richard"
1991,"Marrying Man, The",Comedy,"Baldwin, Alec","Basinger, Kim","Rees, Jerry"
1990,Misery,Horror,"Caan, James","Bates, Kathy","Reiner, Rob"
1946,Crisis,Drama,"Andersson, Wiktor","Baude, Anna-Lisa","Bergman, Ingmar"
1984,Samson & Delilah,Drama,"Hamilton, Antony","Bauer, Belinda","Philips, Lee"
1990,Act of Piracy,Mystery,"Busey, Gary","Bauer, Belinda",
1988,Split Decisions,Drama,"Hackman, Gene","Beals, Jennifer","Drury, David"
1989,Vampire's Kiss,Comedy,"Cage, Nicolas","Beals, Jennifer",
1988,Nightmare at Noon,Action,"Hauser, Wings","Beck, Kimberly","Mastorakis, Nico"
1990,Presumed Innocent,Mystery,"Ford, Harrison","Bedelia, Bonnie","Pakula, Alan J."
1942,Reap the Wild Wind,Drama,"Wayne, John","Beecher, Janet","DeMille, Cecil B."
1972,Pocket Money,Comedy,"Newman, Paul","Belford, Christine","Rosenberg, Stuart"
1977,Mary White,Drama,"Flanders, Ed","Beller, Kathleen","Taylor, Jud"
1982,"Catch a Rising Star, Tenth Anniversary",Comedy,"Belzer, Richard","Benatar, Pat",
1990,Guilty by Suspicion,Drama,"De Niro, Robert","Bening, Annette","Winkler, Irwin"
1948,Secret Beyond the Door,Mystery,"Redgrave, Michael","Bennett, Joan","Lang, Fritz"
1945,Scarlet Street,Drama,"Robinson, Edward G.","Bennett, Joan","Lang, Fritz"
1988,Daffy Duck's Quackbusters,Action,"Blanc, Mel","Bennett, Julie","Ford, Greg"
1985,Rowlf's Rhapsodies with the Muppets,Comedy,"Burns, George","Berenson, Marisa",
1982,Gandhi,Drama,"Kingsley, Ben","Bergen, Candice","Attenborough, Richard"
1975,"Wind & the Lion, The",Action,"Connery, Sean","Bergen, Candice","Milius, John"
1971,Carnal Knowledge,Drama,"Nicholson, Jack","Bergen, Candice","Nichols, Mike"
1970,Getting Straight,Comedy,"Gould, Elliott","Bergen, Candice","Rush, Richard"
1972,"Scarlet Letter, The",Drama,"Albaicín, Rafael","Berger, Senta","Wenders, Wim"
1935,"Count of Old Town, The",Comedy,"Adolphson, Edvin","Bergman, Ingrid","Adolphson, Edvin"
1978,Autumn Sonata,Drama,"Björk, Halvar","Bergman, Ingrid","Bergman, Ingmar"
1944,Gaslight,Drama,"Boyer, Charles","Bergman, Ingrid","Cukor, George"
1958,Indiscreet,Drama,"Grant, Cary","Bergman, Ingrid","Donen, Stanley"
1941,Walpurgis Night,Drama,"Sjöström, Victor","Bergman, Ingrid","Edgren, Gustaf"
1948,Joan of Arc,Drama,"Ferrer, Jose","Bergman, Ingrid","Fleming, Victor"
1982,A Woman Called Golda,Drama,"Beatty, Ned","Bergman, Ingrid","Gibson, Alan"
1969,A Walk in the Spring Rain,Drama,"Quinn, Anthony","Bergman, Ingrid","Green, Guy"
1949,Under Capricorn,Drama,"Cotten, Joseph","Bergman, Ingrid","Hitchcock, Alfred"
1946,Notorious,Mystery,"Grant, Cary","Bergman, Ingrid","Hitchcock, Alfred"
1940,June Night,Drama,"Widgren, Olof","Bergman, Ingrid","Lindberg, Per"
1961,Goodbye Again,Drama,"Perkins, Anthony","Bergman, Ingrid","Litvak, Anatole"
1956,Anastasia,Drama,"Tamiroff, Akim","Bergman, Ingrid","Litvak, Anatole"
1945,"Bells of St. Mary's, The",Drama,"Crosby, Bing","Bergman, Ingrid","McCarey, Leo"
1937,Intermezzo,Drama,"Ekman, Gösta","Bergman, Ingrid","Molander, Gustaf"
1938,A Woman's Face,Drama,"Svennberg, Tore","Bergman, Ingrid","Molander, Gustaf"
1935,Swedenhielms,Drama,"Westergren, Håkan","Bergman, Ingrid","Molander, Gustaf"
1939,Only One Night,Drama,"Adolphson, Edvin","Bergman, Ingrid","Molander, Gustav"
1938,Dollar,Drama,"Rydeberg, Georg","Bergman, Ingrid","Molander, Gustav"
1956,Elena & Her Men,Drama,"Ferrer, Mel","Bergman, Ingrid","Renoir, Jean"
1952,Europa Fifty-One,Drama,"Knox, Alexander","Bergman, Ingrid","Rossellini, Roberto"
1953,Voyage in Italy,Drama,"Sanders, George","Bergman, Ingrid","Rossellini, Roberto"
1954,Fear,Drama,"Wieman, Mathias","Bergman, Ingrid","Rossellini, Roberto"
1950,Stromboli,Drama,"Vitale, Mario","Bergman, Ingrid","Rossellini, Roberto"
1969,Cactus Flower,Comedy,"Matthau, Walter","Bergman, Ingrid","Saks, Gene"
1989,Hideaways,Comedy,"Conover, Bruce","Bergman, Ingrid",
1990,Twenty Four Hours in a Woman's Life,Drama,"Torn, Rip","Bergman, Ingrid",
1987,Programmed to Kill,Action,"Ginty, Robert","Bergman, Sandahl","Holzman, Allan"
1982,Conan the Barbarian,Action,"Schwarzenegger, Arnold","Bergman, Sandahl","Milius, John"
1991,Raw Nerve,Mystery,"Ford, Glenn","Bergman, Sandahl","Prior, David A."
1970,Think Dirty,Comedy,"Feldman, Marty","Berman, Shelley","Clark, Jim"
1982,King of Comedy,Drama,"De Niro, Robert","Bernhard, Sandra","Scorsese, Martin"
1983,"Best of the Big Laff Off, The",Comedy,"Murphy, Eddie","Bernhard, Sandra",
1984,Amadeus,Drama,"Abraham, F. Murray","Berridge, Elizabeth","Forman, Milos"
1973,White Lightning,Action,"Reynolds, Burt","Billingsley, Jennifer","Sargent, Joseph"
1988,"Unbearable Lightness of Being, The",Drama,"Day-Lewis, Daniel","Binoche, Juliette","Kaufman, Philip"
1972,"Life & Times of Judge Roy Bean, The",Western,"Newman, Paul","Bisset, Jacqueline","Huston, John"
1970,Airport,Drama,"Lancaster, Burt","Bisset, Jacqueline","Seaton, George"
1973,Day for Night,Drama,"Aumont, Jean-Pierre","Bisset, Jacqueline","Truffaut, François"
1952,Secrets of Women,Comedy,"Malmsten, Birger","Björk, Anita","Bergman, Ingmar"
1976,Burnt Offerings,Horror,"Reed, Oliver","Black, Karen","Curtis, Dan"
1969,Easy Rider,Drama,"Fonda, Peter","Black, Karen","Hopper, Dennis"
1991,Five Easy Pieces,Drama,"Nicholson, Jack","Black, Karen","Rafelson, Bob"
1974,"Day of the Locust, The",Drama,"Sutherland, Donald","Black, Karen","Schlesinger, John"
1964,Goldfinger,Action,"Connery, Sean","Blackman, Honor","Hamilton, Guy"
1977,"Exorcist II, The Heretic",Horror,"Burton, Richard","Blair, Linda","Boorman, John"
1953,White Lightning,,"Clements, Stanley","Blondell, Gloria","Bernds, Edward"
1942,Lady for a Night,Drama,"Wayne, John","Blondell, Joan","Leigh, Jason"
1968,Charly,Drama,"Robertson, Cliff","Bloom, Claire","Nelson, Ralph"
1973,High Plains Drifter,Western,"Eastwood, Clint","Bloom, Verna","Eastwood, Clint"
1982,Honkytonk Man,Drama,"Eastwood, Clint","Bloom, Verna","Eastwood, Clint"
1990,Nightbreed,Horror,"Cronenberg, David","Bobby, Anne","Barker, Clive"
1987,Under the Sun of Satan,Drama,"Depardieu, Gérard","Bonnaire, Sandrine","Pialat, Maurice"
1985,Vagabond,Drama,"Meril, Macha","Bonnaire, Sandrine","Varda, Agnes"
1993,"Bill Cosby, Live at Harrah's",Comedy,"Cosby, Bill","Boosler, Elayne",
1974,Monty Python & the Holy Grail,Comedy,"Chapman, Graham","Booth, Connie","Gilliam, Terry"
1993,John Cleese on How to Irritate People,Comedy,"Cleese, John","Booth, Connie",
1958,"Matchmaker, The",Comedy,"Perkins, Anthony","Booth, Shirley","Anthony, Joseph"
1981,For Your Eyes Only,Action,"Moore, Roger","Bouquet, Carole","Glen, John"
1928,Wings,War,"Rogers, Buddy","Bow, Clara","Wellman, William"
1992,Medicine Man,Action,"Connery, Sean","Bracco, Lorraine","McTiernan, John"
1989,Good Fellas,Drama,"De Niro, Robert","Bracco, Lorraine","Scorsese, Martin"
1985,Kiss of the Spider Woman,Drama,"Hurt, William","Braga, Sonia","Babenco, Hector"
1990,"Rookie, THe",Action,"Eastwood, Clint","Braga, Sonia","Eastwood, Clint"
1973,"Sting, The",Drama,"Newman, Paul","Brennan, Eileen","Hill, George Roy"
1958,Torpedo Run,War,"Ford, Glenn","Brewster, Diane","Pevney, Joseph"
1986,Instant Justice,Drama,"Paré, Michael","Bridges, Lynda","Rumar, Craig"
1990,Cyrano de Bergerac,Drama,"Depardieu, Gérard","Brochet, Anne","Rappeneau, Jean-Paul"
1948,Border Street,Drama,"Fijewski, Tadeusz","Broniewska, Maria","Ford, Aleksander"
1987,Firehouse,Comedy,"Hopkins, Barrett","Brown, Violet","Ingvordsen, J. Christian"
1965,Morituri,Drama,"Brando, Marlon","Brynner, Yul","Wicki, Bernhard"
1980,From the Life of the Marionettes,Drama,"Atzorn, Robert","Buchegger, Christine","Bergman, Ingmar"
1988,Frantic,Mystery,"Ford, Harrison","Buckley, Betty","Polanski, Roman"
1978,Coma,Science Fiction,"Douglas, Michael","Bujold, Geneviève","Crichton, Michael"
1988,Dead Ringers,Drama,"Irons, Jeremy","Bujold, Geneviève","Cronenberg, David"
1988,Golden Ninja Invasion,Action,"West, Leonard","Burd, Stephanie","Lambert, Bruce"
1973,"Exorcist, The",Horror,"Sydow, Max von","Burstyn, Ellen","Friedkin, William"
1975,Alice Doesn't Live Here Anymore,Comedy,"Kristofferson, Kris","Burstyn, Ellen",
1982,"Eyes of the Amaryllis, The",Drama,"Bolt, Jonathan","Byrne, Martha","King Keller, Frederick"
1952,What Price Glory?,War,"Cagney, James","Calvet, Corinne","Ford, John"
1954,Inauguration of the Pleasure Dome,Short,"De Brier, Sampson","Cameron, Marjorie","Anger, Kenneth"
1989,School Daze,Comedy,"Fishburne, Larry","Campbell, Tisha","Lee, Spike"
1990,"End of Innocence, The",Drama,"Heard, John","Cannon, Dyan","Cannon, Dyan"
1971,"Anderson Tapes, The",Mystery,"Connery, Sean","Cannon, Dyan","Lumet, Sidney"
1983,"Father Murphy, A Horse from Heaven",Comedy,"Olsen, Merlin","Cannon, Katharine","Claxton, William F."
1989,Skull,Drama,"Bideman, Robert","Capone, Nadia","Bergman, Robert"
1987,"Quick & The Dead, The",Western,"Elliott, Sam","Capshaw, Kate","Day, Robert"
1984,Best Defense,Comedy,"Moore, Dudley","Capshaw, Kate","Huyck, Willard"
1984,Dreamscape,Science Fiction,"Quaid, Dennis","Capshaw, Kate","Ruben, Joseph"
1989,Black Rain,Action,"Douglas, Michael","Capshaw, Kate","Scott, Ridley"
1963,8 1/2,Drama,"Mastroianni, Marcello","Cardinale, Claudia","Fellini, Federico"
1935,One Frightened Night,Horror,"Ford, Wallace","Carlisle, Mary","Cabanne, Christy"
1988,"Year My Voice Broke, The",Drama,"Taylor, Noah","Carmen, Loene","Duigan, John"
1966,Is Paris Burning?,War,"Belmondo, Jean-Paul","Caron, Leslie","Clément, René"
1974,QB VII,Drama,"Hopkins, Anthony","Caron, Leslie","Gries, Tom"
1977,"Island of Dr. Moreau, The",Horror,"Lancaster, Burt","Carrera, Barbara","Taylor, Don"
1983,Beyond the Limit,Drama,"Caine, Michael","Carrillo, Elpidia","Mackenzie, John"
1936,Secret Agent,Mystery,"Lorre, Peter","Carroll, Madeleine","Hitchcock, Alfred"
1986,Paramount Comedy Theater: Well-Developed,Comedy,"Mahler, Bruce","Carter, Judy",
1972,"Big Bust Out, The",Action,"Kendall, Tony","Carter, Karen","Theumer, Ernst R. von"
1987,"Fourth Protocol, The",Mystery,"Caine, Michael","Cassidy, Joanna","Mackenzie, John"
1990,Gremlins 2: The New Batch,Comedy,"Galligan, Zach","Cates, Phoebe","Dante, Joe"
1982,Fast Times at Ridgemont High,Comedy,"Penn, Sean","Cates, Phoebe","Heckerling, Amy"
1987,Mannequin,Comedy,"McCarthy, Andrew","Cattrall, Kim","Gottlieb, Michael"
1977,Rabid,Horror,"Moore, Frank","Chambers, Marilyn","Cronenberg, David"
1990,"Party, The",Comedy,"Sellers, Peter","Champion, Marge","Edwards, Blake"
1989,"Vampire Raiders, Ninja Queen",Action,"Peterson, Chris","Chan, Agnes","Lambert, Bruce"
1970,Bloopers from Star Trek,Comedy,"Lawford, Peter","Channing, Carol",
1943,Destroyer,Action,"Robinson, Edward G.","Chapman, Marguerite","Seiter, William A."
1992,Party Girl,Comedy,"Taylor, Robert","Charisse, Cyd","Ray, Nicholas"
1989,Twin Peaks,Mystery,"MacLachlan, Kyle","Chen, Joan","Lynch, David"
1987,Moonstruck,Comedy,"Cage, Nicholas",Cher,"Jewison, Norman"
1987,"Witches of Eastwick, The",Comedy,"Nicholson, Jack",Cher,"Miller, George"
1979,Moonraker,Action,"Moore, Roger","Chiles, Lois","Gilbert, Lewis"
1984,Beat Street,Drama,"Davis, Guy","Chong, Rae Dawn","Lathan, Stan"
1986,Running Out of Luck,Comedy,"Jagger, Mick","Chong, Rae Dawn",
1989,Never on Tuesday,Drama,"Lauer, Andrew","Christian, Claudia","Rifkin, Adam"
1975,Shampoo,Comedy,"Beatty, Warren","Christie, Julie","Ashby, Hal"
1985,Power,Drama,"Hackman, Gene","Christie, Julie","Lumet, Sidney"
1965,Darling,Drama,"Harvey, Laurence","Christie, Julie","Schlesinger, John"
1963,"Ugly American, The",Drama,"Brando, Marlon","Church, Sandra","Englund, George"
1931,Ambassador Bill,Comedy,"Rogers, Will","Churchill, Marguerite","Taylor, Sam"
1931,"Big Trail, The",Western,"Wayne, John","Churchill, Marguerite","Walsh, Raoul"
1967,Hombre,Western,"Newman, Paul","Cilento, Diane","Ritt, Martin"
1968,Coogan's Bluff,Action,"Eastwood, Clint","Clark, Susan","Siegel, Don"
1989,Penn & Teller Get Killed,Comedy,"Penn, Jillette","Clarke, Caitlin","Penn, Arthur"
1987,Shy People,Drama,"Philbin, John","Clayburgh, Jill","Konchalovsky, Andrei"
1980,It's My Turn,Comedy,"Douglas, Michael","Clayburgh, Jill","Weill, Claudia"
1988,Dangerous Liaisons,Drama,"Malkovich, John","Close, Glenn","Frears, Stephen"
1990,Reversal of Fortune,Drama,"Irons, Jeremy","Close, Glenn","Schroeder, Barbet"
1991,Meeting Venus,Comedy,"Arestrup, Niels","Close, Glenn","Szabó, István"
1946,Tomorrow Is Forever,Drama,"Welles, Orson","Colbert, Claudette",
1987,Like Father Like Son,Comedy,"Cameron, Kirk","Colin, Margaret","Daniel, Rod"
1948,Rope,Drama,"Stewart, James","Collier, Constance","Hitchcock, Alfred"
1962,Road to Hong Kong,Comedy,"Hope, Bob","Collins, Joan","Panama, Norman"
1989,Shirley Valentine,Comedy,"Conti, Tom","Collins, Pauline","Gilbert, Lewis"
1992,City of Joy,Drama,"Swayze, Patrick","Collins, Pauline","Joffe, Roland"
1966,"Appaloosa, The",Western,"Brando, Marlon","Comer, Anjanette","Furie, Sidney J."
1986,Seven Minutes in Heaven,Comedy,"Thames, Byron","Connelly, Jennifer","Feferman, Linda"
1991,"Hearts of Darkness, A Filmmaker's Apocalypse",Drama,"Bottoms, Sam","Coppola, Eleanor","Bahr, Fax"
1961,Tonight for Sure,Comedy,"Lee, Karla","Cornell, Laura","Coppola, Francis Ford"
1990,"White Hunter, Black Heart",Adventure,"Eastwood, Clint","Cornwell, Charlotte","Eastwood, Clint"
1962,Sundays & Cybele,Drama,"Kruger, Hardy","Courcel, Nicole","Bourguignon, Serge"
1989,Puppet Master,Science Fiction,"LeMat, Paul","Crampton, Barbara","Schmoeller, David"
1991,Night Gallery,Horror,"McDowall, Roddy","Crawford, Joan","Spielberg, Steven"
1989,Pet Sematary,Horror,"Gwynne, Fred","Crosby, Denise","Lambert, Mary"
1992,"America's Music, Gospel",Music,"Phipps, Wentley","Crouch, Sandra","Walton, Kip"
1977,Slap Shot,Comedy,"Newman, Paul","Crouse, Lindsay","Hill, George Roy"
1987,O. C. & Stiggs,Comedy,"Jenkins, Daniel H.","Curtin, Jane","Altman, Robert"
1988,A Fish Called Wanda,Comedy,"Cleese, John","Curtis, Jamie Lee","Crichton, Charles"
1954,A Lesson in Love,Comedy,"Björnstrand, Gunnar","Dahlbeck, Eva","Bergman, Ingmar"
1957,Brink of Life,Drama,"Josephson, Erland","Dahlbeck, Eva","Bergman, Ingmar"
1986,Betty Blue,Drama,"Anglade, Jean-Hughes","Dalle, Béatrice","Beineix, Jean-Jacques"
1979,Hair,Music,"Savage, John","D'Angelo, Beverly","Forman, Milos"
1989,National Lampoon's Christmas Vacation,Comedy,"Chase, Chevy","D'Angelo, Beverly","S, Jeremiah"
1974,"Dersu Uzala, (The Hunter)",Adventure,"Solomin, Yuri","Danilchenko, Svetlana","Kurosawa, Akira"
1990,Alice,Comedy,"Baldwin, Alec","Danner, Blythe","Allen, Woody"
1980,"Fifth Floor, The",Mystery,"Hopkins, Bo","D'Arbanville, Patti","Avedis, Howard Hikmet"
1990,Snow Kill,Drama,"Knox, Terence","D'Arbanville, Patti","Wright, Thomas J."
